id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2024-04-16,17,8.6,2,210,55.6,0.3,999.7
12600,Bielsko Biała,2024-04-16,17,7.6,4,240,51.8,7.7,1004.3
12235,Chojnice,2024-04-16,17,4.9,5,270,88.6,5.3,997.5
12550,Częstochowa,2024-04-16,17,5.3,1,180,83.8,1.6,1003.1
12160,Elbląg,2024-04-16,17,4.4,1,330,93.8,5.0,997.6
12155,Gdańsk,2024-04-16,17,5.5,2,350,90.6,4.4,997.4
12300,Gorzów,2024-04-16,17,6.6,3,310,81.0,2.8,1000.2
12135,Hel,2024-04-16,17,5.4,2,10,95.2,2.5,997.7
12500,Jelenia Góra,2024-04-16,17,9.0,5,260,48.5,0.0,1001.4
12435,Kalisz,2024-04-16,17,10.8,5,250,45.5,3.9,1000.3
12650,Kasprowy Wierch,2024-04-16,17,-6.2,4,290,87.7,6.3,
12560,Katowice,2024-04-16,17,5.1,1,30,91.2,2.0,1004.1
12185,Kętrzyn,2024-04-16,17,5.9,3,280,85.0,1.0,997.8
12570,Kielce,2024-04-16,17,7.9,3,230,58.8,1.5,1002.8
12520,Kłodzko,2024-04-16,17,8.7,5,230,46.6,0.01,1002.2
12345,Koło,2024-04-16,17,9.2,4,250,59.5,8.5,999.9
12100,Kołobrzeg,2024-04-16,17,6.0,11,10,93.9,19.0,998.4
12105,Koszalin,2024-04-16,17,6.6,3,360,92.6,6.6,997.1
12488,Kozienice,2024-04-16,17,8.9,2,220,52.5,0.8,1001.9
12566,Kraków,2024-04-16,17,7.9,4,280,64.6,5.1,1003.9
12670,Krosno,2024-04-16,17,7.2,0,0,66.8,8.2,1004.0
12415,Legnica,2024-04-16,17,10.5,4,270,42.5,2.1,1001.1
12690,Lesko,2024-04-16,17,6.4,1,200,88.8,7.0,1004.6
12418,Leszno,2024-04-16,17,10.4,4,250,46.7,6.2,1000.2
12125,Lębork,2024-04-16,17,6.1,3,50,95.2,0.2,997.5
12495,Lublin,2024-04-16,17,7.8,3,250,55.8,0.3,1002.7
12120,Łeba,2024-04-16,17,5.8,5,50,93.2,0.01,997.8
12465,Łódź,2024-04-16,17,7.4,4,210,62.6,1.4,1001.3
12280,Mikołajki,2024-04-16,17,5.4,3,220,88.7,0.8,998.0
12270,Mława,2024-04-16,17,7.6,6,230,70.9,2.6,999.1
12660,Nowy Sącz,2024-04-16,17,8.6,2,240,60.7,8.6,1004.1
12272,Olsztyn,2024-04-16,17,5.9,2,230,88.7,4.7,998.1
12530,Opole,2024-04-16,17,8.5,1,160,67.6,3.3,1002.5
12285,Ostrołęka,2024-04-16,17,6.0,3,99,86.3,1.2,999.8
12230,Piła,2024-04-16,17,5.6,3,250,90.0,8.2,998.8
12001,Platforma,2024-04-16,17,4.1,8,40,86.7,0.0,998.8
12360,Płock,2024-04-16,17,8.1,5,240,63.7,7.5,999.9
12330,Poznań,2024-04-16,17,7.1,2,290,78.8,12.1,999.7
12695,Przemyśl,2024-04-16,17,8.1,2,99,74.0,11.2,1003.7
12540,Racibórz,2024-04-16,17,7.7,3,220,67.9,2.4,1003.5
12210,Resko,2024-04-16,17,4.3,5,270,93.8,23.3,998.8
12580,Rzeszów,2024-04-16,17,8.1,2,240,61.5,8.5,1003.8
12585,Sandomierz,2024-04-16,17,8.2,2,230,54.7,1.0,1003.2
12385,Siedlce,2024-04-16,17,8.4,3,220,57.6,2.3,1001.3
12310,Słubice,2024-04-16,17,8.4,5,330,67.5,2.5,1000.6
12469,Sulejów,2024-04-16,17,6.8,5,210,71.7,2.0,1002.4
12195,Suwałki,2024-04-16,17,5.8,8,240,78.0,0.2,998.1
12205,Szczecin,2024-04-16,17,5.2,5,300,86.8,14.2,1000.6
12215,Szczecinek,2024-04-16,17,4.9,4,260,90.6,7.8,997.6
12510,Śnieżka,2024-04-16,17,-4.1,11,250,99.2,1.2,
12200,Świnoujście,2024-04-16,17,5.2,11,360,85.6,18.5,1001.2
12575,Tarnów,2024-04-16,17,8.5,2,260,60.7,7.6,1003.4
12399,Terespol,2024-04-16,17,8.3,3,210,56.8,1.3,1001.6
12250,Toruń,2024-04-16,17,7.4,4,230,75.5,5.8,999.2
12115,Ustka,2024-04-16,17,6.5,12,40,93.9,7.2,997.6
12375,Warszawa,2024-04-16,17,8.6,3,260,55.6,4.9,1001.0
12455,Wieluń,2024-04-16,17,7.6,3,180,72.9,0.9,1001.9
12497,Włodawa,2024-04-16,17,8.0,4,240,58.8,1.3,1002.4
12424,Wrocław,2024-04-16,17,11.3,3,260,45.6,0.1,1001.1
12625,Zakopane,2024-04-16,17,4.0,3,280,58.7,10.7,
12595,Zamość,2024-04-16,17,8.2,3,240,62.8,1.0,1003.2
12400,Zielona Góra,2024-04-16,17,9.5,2,280,51.5,1.3,1000.1
